2,"Ravenous Bloodseeker","soi"
2,"Indulgent Aristocrat","soi"
1,"Olivia's Bloodsworn","soi"
2,"Sanguinary Mage","soi"
2,"Vampire Noble","soi"
2,"Bloodmad Vampire","soi"
2,"Stromkirk Mentor","soi"
1,"Mad Prophet","soi"
2,"Voldaren Duelist","soi"
2,"Twins of Maurer Estate","soi"
1,"Markov Dreadknight","soi"
2,"Incorrigible Youths","soi"
1,"Macabre Waltz","soi"
1,"Murderous Compulsion","soi"
2,"Tormenting Voice","soi"
2,"Alms of the Vein","soi"
2,"Malevolent Whispers","soi"
1,"Burn from Within","soi"
2,"Fiery Temper","soi"
1,"Sinister Concoction","soi"
1,"Senseless Rage","soi"
1,"Creeping Dread","soi"
13,"Swamp","soi"
12,"Mountain","soi"
