2,"Firehoof Cavalry","ktk"
2,"Leaping Master","ktk"
2,"Valley Dasher","ktk"
2,"Wandering Champion","frf"
2,"Mardu Scout","frf"
2,"Goblin Roughrider","m15"
2,"Sandsteppe Outcast","frf"
1,"Geist of the Moors","m15"
2,"Goblin Heelcutter","frf"
2,"Vaultbreaker","frf"
1,"Razorfoot Griffin","m15"
2,"Highspire Mantis","ktk"
1,"Flamerush Rider","frf"
1,"Thundering Giant","m15"
1,"Act of Treason","ktk"
1,"Bathe in Dragonfire","frf"
1,"Pyrotechnics","frf"
1,"Collateral Damage","frf"
1,"Deflecting Palm","ktk"
1,"Ride Down","ktk"
1,"Dragonrage","frf"
2,"War Flare","frf"
2,"Heat Ray","m15"
3,"Wind-Scarred Crag","frf"
13,"Mountain","frf"
9,"Plains","frf"
