1,"Auramancer","m14"
1,"Banisher Priest","m14"
1,"Pillarfield Ox","m14"
1,"Blightcaster","m14"
1,"Minotaur Abomination","m14"
2,"Hopeful Eidolon","ths"
1,"Yoked Ox","ths"
2,"Traveling Philosopher","ths"
1,"Baleful Eidolon","ths"
2,"Lagonna-Band Elder","ths"
2,"Observant Alseid","ths"
1,"Scholar of Athreos","ths"
1,"Cavern Lampad","ths"
1,"Celestial Archon","ths"
1,"Sentry of the Underworld","ths"
2,"Vanquish the Foul","ths"
2,"Last Breath","ths"
1,"Doom Blade","m14"
1,"Ray of Dissolution","ths"
1,"Pacifism","m14"
1,"Ordeal of Heliod","ths"
2,"Ordeal of Erebos","ths"
1,"Gift of Immortality","ths"
16,"Plains","ths"
9,"Swamp","ths"
2,"Heliod’s Emissary","ths"
1,"Erebos’s Emissary","ths"
2,"Pharika’s Cure","ths"
