1,"Chandra, Pyrogenius","kld/en"
1,"Speedway Fanatic","kld/en"
1,"Gearshift Ace","kld/en"
2,"Trusty Companion","kld/en"
2,"Veteran Motorist","kld/en"
1,"Weldfast Monitor","kld/en"
3,"Renegade Firebrand","kld/en"
2,"Spireside Infiltrator","kld/en"
1,"Brazen Scourge","kld/en"
2,"Aerial Responder","kld/en"
1,"Snare Thopter","kld/en"
1,"Skyswirl Harrier","kld/en"
1,"Cathartic Reunion","kld/en"
2,"Liberating Combustion","kld/en"
2,"Built to Last","kld/en"
4,"Flame Lash","kld/en"
1,"Fateful Showdown","kld/en"
2,"Sky Skiff","kld/en"
2,"Renegade Freighter","kld/en"
1,"Bomat Bazaar Barge","kld/en"
1,"Fleetwheel Cruiser","kld/en"
1,"Ovalchase Dragster","kld/en"
4,"Stone Quarry","kld/en"
11,"Mountain","kld/en"
10,"Plains","kld/en"
