1,"Argothian Wurm","usg"
1,"Wildfire","usg"
2,"Shivan Raptor","usg"
2,"Thundering Giant","usg"
1,"Hidden Ancients","usg"
2,"Cradle Guard","usg"
1,"Anaconda","usg"
1,"Bull Hippo","usg"
1,"Torch Song","usg"
1,"Shiv's Embrace","usg"
1,"Jagged Lightning","usg"
1,"Thran Turbine","usg"
2,"Slippery Karst","usg"
2,"Smoldering Crater","usg"
2,"Goblin Patrol","usg"
2,"Goblin War Buggy","usg"
1,"Hidden Spider","usg"
3,"Wild Dogs","usg"
1,"Pouncing Jaguar","usg"
2,"Acridian","usg"
1,"Shower of Sparks","usg"
1,"Heat Ray","usg"
1,"Fiery Mantle","usg"
3,"Arc Lightning","usg"
1,"Scrap","usg"
1,"Symbiosis","usg"
1,"Hush","usg"
10,"Forest","usg"
11,"Mountain","usg"
