1,"Opal Titan","usg"
1,"Barrin's Codex","usg"
2,"Songstitcher","usg"
1,"Monk Idealist","usg"
1,"Voice of Grace","usg"
2,"Clear","usg"
2,"Humble","usg"
1,"Waylay","usg"
1,"Serra's Embrace","usg"
1,"Endoskeleton","usg"
2,"Dragon Blood","usg"
4,"Drifting Meadow","usg"
2,"Opal Caryatid","usg"
3,"Angelic Page","usg"
1,"Disciple of Grace","usg"
1,"Disciple of Law","usg"
2,"Monk Realist","usg"
3,"Opal Gargoyle","usg"
3,"Pegasus Charger","usg"
1,"Sanctum Custodian","usg"
4,"Brilliant Halo","usg"
1,"Disenchant","usg"
2,"Pacifism","usg"
18,"Plains","usg"
