1,"Gluttonous Zombie","ons"
3,"Fierce Empath","scg"
3,"Krosan Drover","scg"
2,"Kurgadon","scg"
2,"Spitting Gourna","ons"
2,"Elvish Aberration","scg"
1,"Treespring Lorian","ons"
1,"Root Elemental","scg"
2,"Symbiotic Beast","ons"
1,"Venomspout Brackus","ons"
2,"Wirewood Guardian","scg"
2,"Titanic Bulvox","scg"
2,"Chill Haunting","scg"
1,"Dragon Shadow","scg"
1,"Smother","ons"
1,"Final Punishment","scg"
2,"Dragon Fangs","scg"
2,"Sprouting Vines","scg"
3,"Accelerated Mutation","scg"
6,"Swamp","ons"
14,"Forest","ons"
2,"Barren Moor","ons"
2,"Temple of the False God","scg"
2,"Tranquil Thicket","ons"
